"In uncertain times, I usually expect the best.",I’m always optimistic about my future.,I generally expect things to go my way.,"Overall, I expect more good things to happen to me than bad.","I feel that I am a person of worth, at least on an equal plane with others.",I take a positive attitude toward myself.,I am able to do things as well as most other people.,I feel I have a number of good qualities.,I tend to look on the bright side of things.,I am generally satisfied with myself.,I am confident in my ability to achieve my goals.,I can handle most situations that come my way.,I bounce back quickly after experiencing difficulties.,I can handle stress effectively.,I am aware of my emotions and how they affect my behavior.,I can empathize with others' feelings.,I remain calm under pressure.,I handle stressful situations effectively.,I am highly motivated to achieve my goals.,I persist in the face of challenges.,I communicate effectively with others.,I am good at building and maintaining relationships.,I am satisfied with my life as a whole.,I feel fulfilled in my daily activities.,Optimism,Self_Efficacy,Resilience,Emotional_Intelligence,Stress_Tolerance,Motivation,Social_Skills,Life_Satisfaction
Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0
Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Disagree,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0
Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Disagree,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Agree,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0
Neutral,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Neutral,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0
Disagree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0
Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0
Neutral,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Neutral,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0
Neutral,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0
Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0
Neutral,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0
Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0
